;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
1650;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e editável, efetuar alteração via editor simplificado e salvar;"Usuário Habilitado -  Exibe a opção como ""Visualizar/Editar documento""";FABRICIO;ITEM DESABILITADO;;;;
1651;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e não editável, efetuar alteração via editor simplificado e salvar (não deve permitir alterar e exibe informação na coluna Detalhes);;FABRICIO;ITEM DESABILITADO;;;;
1652;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento finalizado, efetuar alteração via editor simplificado e salvar (não deve permitir alterar e exibe informação na coluna Detalhes);;FABRICIO;ITEM DESABILITADO;;;;
1653;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e editável, acionar o botão de  Finalizar Documento e optar por Finalizar;;FABRICIO;ITEM DESABILITADO;;;;
1654;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e editável, acionar o botão de  Finalizar Documento e optar por Finalizar e Assinar;;FABRICIO;ITEM DESABILITADO;;;;
1655;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e editável, acionar o botão de  Finalizar Documento e optar por Finalizar e Não liberar nos autos;;FABRICIO;ITEM DESABILITADO;;;;
1656;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento de um processo não finalizado e editável, acionar o botão de  Finalizar Documento e optar por Finalizar, Assinar e Peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1657;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e editável, acionar o botão de  Finalizar fechar a tela de Finalização de Documento e repetir a operação;;FABRICIO;ITEM DESABILITADO;;;;
1658;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento não finalizado e tentar efetuar alguma alteração (não deve permitir alterar o documento);"Usuário Desabilitado - Exibe a opção como ""Visualizar documento""";FABRICIO;ITEM DESABILITADO;;;;
1659;SAJMP;Editor Simplificado ;Fluxo de trabalho;Selecionar documento finalizado e tentar efetuar alguma alteração (não deve permitir alterar o documento);;FABRICIO;ITEM DESABILITADO;;;;
1660;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento finalizado (e não liberado nos autos) e editável, efetuar alteração via editor simplificado e salvar;"Usuário Habilitado -  Exibe a opção como ""Visualizar/Editar documento""";FABRICIO;ITEM DESABILITADO;;;;
1661;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento não finalizado e não editável, efetuar alteração via editor simplificado e salvar (não deve permitir alterar e exibe informação na coluna Detalhes);;FABRICIO;ITEM DESABILITADO;;;;
1662;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento finalizado, efetuar alteração via editor simplificado e salvar (não deve permitir alterar e exibe informação na coluna Detalhes);;FABRICIO;ITEM DESABILITADO;;;;
1663;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento finalizado (e não liberado nos autos) e editável, acionar o botão de  Finalizar Documento e optar por Finalizar;;FABRICIO;ITEM DESABILITADO;;;;
1664;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento finalizado (e não liberado nos autos) e editável, acionar o botão de  Finalizar Documento e optar por Finalizar e Assinar;;FABRICIO;ITEM DESABILITADO;;;;
1665;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento finalizado (e não liberado nos autos) e editável, acionar o botão de  Finalizar Documento e optar por Finalizar e Não liberar nos autos;;FABRICIO;ITEM DESABILITADO;;;;
1666;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento de um processo finalizado (e não liberado nos autos) e editável, acionar o botão de  Finalizar Documento e optar por Finalizar, Assinar e Peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1667;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento não finalizado e editável, acionar o botão de  Finalizar fechar a tela de Finalização de Documento e repetir a operação;;FABRICIO;ITEM DESABILITADO;;;;
1668;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento não finalizado e tentar efetuar alguma alteração (não deve permitir alterar o documento);"Usuário Desabilitado - Exibe a opção como ""Visualizar documento""";FABRICIO;ITEM DESABILITADO;;;;
1669;SAJMP;Editor Simplificado ;Banco de Pareceres;Selecionar documento finalizado e tentar efetuar alguma alteração (não deve permitir alterar o documento);;FABRICIO;ITEM DESABILITADO;;;;
1670;SAJMP;Editor Simplificado ;Editor - Modelos institucionais;Criar novo modelo com todos os dados Obrigatórios (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1671;SAJMP;Editor Simplificado ;Editor - Modelos institucionais;Criar modelo com dependentes (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1672;SAJMP;Editor Simplificado ;Editor - Modelos institucionais;Criar novo modelo e não informar movimentação (não permite e emite mensagem) (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1673;SAJMP;Editor Simplificado ;Editor - Modelos institucionais;Criar novo modelo com base em um modelo selecionado no Gerenciador de Arquivos;;FABRICIO;ITEM DESABILITADO;;;;
1674;SAJMP;Editor Simplificado ;Editor - Modelos  de grupo;Criar novo modelo com todos os dados Obrigatórios (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1675;SAJMP;Editor Simplificado ;Editor - Modelos  de grupo;Criar modelo com dependentes (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1676;SAJMP;Editor Simplificado ;Editor - Modelos  de grupo;Criar novo modelo e não informar movimentação (não permite e emite mensagem) (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1677;SAJMP;Editor Simplificado ;Editor - Modelos  de grupo;Criar novo modelo com base em um modelo selecionado no Gerenciador de Arquivos;;FABRICIO;ITEM DESABILITADO;;;;
1678;SAJMP;Editor Simplificado ;Editor - Modelos  de usuário;Criar novo modelo com todos os dados Obrigatórios (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1679;SAJMP;Editor Simplificado ;Editor - Modelos  de usuário;Criar modelo com dependentes (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1680;SAJMP;Editor Simplificado ;Editor - Modelos  de usuário;Criar novo modelo e não informar movimentação (não permite e emite mensagem) (Através do Menu Editor >> Cadastro de Modelos de Instituição);;FABRICIO;ITEM DESABILITADO;;;;
1681;SAJMP;Editor Simplificado ;Editor - Modelos  de usuário;Criar novo modelo com base em um modelo selecionado no Gerenciador de Arquivos;;FABRICIO;ITEM DESABILITADO;;;;
1682;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar Emissão de Documentos;;FABRICIO;ITEM DESABILITADO;;;;
1683;SAJMP;Editor Simplificado ;Fluxo de trabalho;Abrir Cadastro;;FABRICIO;ITEM DESABILITADO;;;;
1684;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar Agendamento de Compromisso;;FABRICIO;ITEM DESABILITADO;;;;
1685;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar Decisões ou Sentenças;;FABRICIO;ITEM DESABILITADO;;;;
1686;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar o lançamento de Movimentação;;FABRICIO;ITEM DESABILITADO;;;;
1687;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar a impressão de Documentos;;FABRICIO;ITEM DESABILITADO;;;;
1688;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar a Cópia de Documentos;;FABRICIO;ITEM DESABILITADO;;;;
1689;SAJMP;Editor Simplificado ;Fluxo de trabalho;Efetuar a Evolução de Cadastros;;FABRICIO;ITEM DESABILITADO;;;;
1690;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Abrir Cadastro Judicial;;FABRICIO;ITEM DESABILITADO;;;;
1691;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Abrir Cadastro Extrajudicial;;FABRICIO;ITEM DESABILITADO;;;;
1692;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Mover para outra fila;;FABRICIO;ITEM DESABILITADO;;;;
1693;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Copiar para outra fila;;FABRICIO;ITEM DESABILITADO;;;;
1694;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Editar Observação;;FABRICIO;ITEM DESABILITADO;;;;
1695;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Alocar ;;FABRICIO;ITEM DESABILITADO;;;;
1696;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Alocar para outro usuário;;FABRICIO;ITEM DESABILITADO;;;;
1697;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Liberar;;FABRICIO;ITEM DESABILITADO;;;;
1698;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Excluir desta fila;;FABRICIO;ITEM DESABILITADO;;;;
1699;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Consulta de Cadastro;;FABRICIO;ITEM DESABILITADO;;;;
1700;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Impressão de Etiquetas;;FABRICIO;ITEM DESABILITADO;;;;
1701;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Histórico do Cadastro no Fluxo;;FABRICIO;ITEM DESABILITADO;;;;
1702;SAJMP;Editor Simplificado ;Fluxo de trabalho - Menu de Contexto;Mostrar dependência do objeto;;FABRICIO;ITEM DESABILITADO;;;;
1703;SAJMP;Editor Simplificado ;Verificar exibição da quantidade apresentada;Conferir com a quantidade apresentada no final da tela;;FABRICIO;ITEM DESABILITADO;;;;
1704;SAJMP;Editor Simplificado ;Verificar exibição da quantidade apresentada;Conferir a quantidade exibida no subfluxo;;FABRICIO;ITEM DESABILITADO;;;;
1705;SAJMP;Editor Simplificado ;Verificar exibição da quantidade apresentada;Conferir a quantidade exibida nas filas;;FABRICIO;ITEM DESABILITADO;;;;
1706;SAJMP;Editor Simplificado ;Verificar exibição da quantidade apresentada;Mais de 100 (consulta próximos registros);;FABRICIO;ITEM DESABILITADO;;;;
1707;SAJMP;Editor Simplificado ;Outras opções;Navegar entre as Filas de Trabalho;;FABRICIO;ITEM DESABILITADO;;;;
1708;SAJMP;Editor Simplificado ;Outras opções;Testar botões e atalhos da tela;;FABRICIO;ITEM DESABILITADO;;;;
1709;SAJMP;Editor Simplificado ;Outras opções;Salvar Estilo de visualização;;FABRICIO;ITEM DESABILITADO;;;;
1710;SAJMP;Editor Simplificado ;Outras opções;Exportar dados da Tela;;FABRICIO;ITEM DESABILITADO;;;;
1711;SAJMP;Editor Simplificado ;Outras opções;Impressão dos dados da Tela;;FABRICIO;ITEM DESABILITADO;;;;
1712;SAJADM;Barra de acesso rápido por atalho;Usuários;Testar o atalho;;FABRICIO;FUNCIONA;;;;
1713;SAJADM;Barra de acesso rápido por atalho;Fluxo de trabalho;Testar o atalho;;FABRICIO;FUNCIONA;;;;
1714;SAJADM;Barra de acesso rápido por atalho;Distribuição 1º grau;Testar o atalho;;FABRICIO;FUNCIONA;;;;
1715;SAJADM;Barra de acesso rápido por atalho;Parâmetros;Testar o atalho;;FABRICIO;FUNCIONA;;;;
1716;SAJADM;Menu - Geral;Configuração da estação de trabalho;Testar bloqueio da estação de trabalho;;FABRICIO;FUNCIONA;;;;
1717;SAJADM;Menu - Geral;Identificação do usuário;Testar identificação do usuário;;FABRICIO;FUNCIONA;;;;
1718;SAJADM;Menu - Geral;Sair;Testar sair do sistema;;FABRICIO;;;;;
1719;SAJADM;Menu - Sistemas;Consulta;Abrir janela;;FABRICIO;;;;;
1720;SAJADM;Menu - Sistemas;Consulta de telas e operações;Abrir janela;;FABRICIO;;;;;
1721;SAJADM;Menu - Sistemas;Manutenção;Abrir janela;;FABRICIO;;;;;
1722;SAJADM;Menu - Perfil de usuários;Cadastro;Cadastrar perfil;;FABRICIO;;;;;
1723;SAJADM;Menu - Perfil de usuários;Cópia de perfil;Copiar perfil para outro;;FABRICIO;;;;;
1724;SAJADM;Menu - Usuários;Cadastro;Cadastrar usuário;;FABRICIO;;;;;
1725;SAJADM;Menu - Usuários;Consulta;Consultar usuários de uma determinada lotação;;FABRICIO;;;;;
1726;SAJADM;Menu - Usuários;Autorizações de operações;Testar consultas de autorização de operação e retirar e incluir operações através desta tela;;FABRICIO;;;;;
1727;SAJADM;Menu - Usuários;Vinculação às pastas;Vincular pasta através desta tela;;FABRICIO;;;;;
1728;SAJADM;Menu - Usuários;Cadastro de cargos;Cadastrar cargo;;FABRICIO;;;;;
1729;SAJADM;Menu - Usuários;Cadastros de funções;Cadastrar funções;;FABRICIO;;;;;
1730;SAJADM;Menu - Usuários;Cópia de dados de usuário;Copiar dados de um usuário para outro usuário;;FABRICIO;;;;;
1731;SAJADM;Menu - Usuários;Permissão de acesso a cadastros sigilosos;Testar o acesso a cadastros sigilosos por usuário e por lotação, bem como validar o prazo de validade;;FABRICIO;;;;;
1732;SAJADM;Menu - Auditoria;Consulta de configuração;Abrir janela;;FABRICIO;;;;;
1733;SAJADM;Menu - Auditoria;Consulta de auditoria;Realizar uma consulta de auditoria;;FABRICIO;;;;;
1734;SAJADM;Menu - Parâmetros;Consulta;Abrir janela;;FABRICIO;;;;;
1735;SAJADM;Menu - Parâmetros;Configuração;Abrir janela;;FABRICIO;;;;;
1736;SAJADM;Menu - Apoio - Tabelas;Área de atuação;Cadastrar área de atuação;;FABRICIO;;;;;
1737;SAJADM;Menu - Apoio - Tabelas;Assuntos;Cadastrar assunto;;FABRICIO;;;;;
1738;SAJADM;Menu - Apoio - Tabelas;Classificação;Cadastrar e deletar uma classificação;;FABRICIO;;;;;
1739;SAJADM;Menu - Apoio - Tabelas;Classes;Abrir janela;;FABRICIO;;;;;
1740;SAJADM;Menu - Apoio - Tabelas;Comarcas;Cadastro comarca;;FABRICIO;;;;;
1741;SAJADM;Menu - Apoio - Tabelas;Complementos da movimentação;Cadastrar um complemento da movimentação e vincular à uma movimentação;;FABRICIO;;;;;
1742;SAJADM;Menu - Apoio - Tabelas;Consulta de movimentações não vinculada ao tipo de vista;Abrir a tela de consulta não vinculada;;FABRICIO;;;;;
1743;SAJADM;Menu - Apoio - Tabelas;Cútis;Cadastrar e deletar registros na tela;;FABRICIO;;;;;
1744;SAJADM;Menu - Apoio - Tabelas;Delegacias;Cadastrar delegacia;;FABRICIO;;;;;
1745;SAJADM;Menu - Apoio - Tabelas;Dica do dia;Cadastro de dicas do dia;;FABRICIO;;;;;
1746;SAJADM;Menu - Apoio - Tabelas;Entrâncias / Comarcas;Abrir janela;;FABRICIO;;;;;
1747;SAJADM;Menu - Apoio - Tabelas;Especialidades;Cadastrar especialidades;;FABRICIO;;;;;
1748;SAJADM;Menu - Apoio - Tabelas;Evolução de partes;Vinculação de evolução de partes;;FABRICIO;;;;;
1749;SAJADM;Menu - Apoio - Tabelas;Feriados;Abrir janela;;FABRICIO;;;;;
1750;SAJADM;Menu - Apoio - Tabelas;Formas de tratamento;Cadastrar formas de tratamento e Inserir a forma de tratamento no cadastra do perfil do usuário;;FABRICIO;;;;;
1751;SAJADM;Menu - Apoio - Tabelas;Legislação;Cadastrar legislação;;FABRICIO;;;;;
1752;SAJADM;Menu - Apoio - Tabelas;Legislação e artigos;Cadastrar artigos para a legislação criada;;FABRICIO;;;;;
1753;SAJADM;Menu - Apoio - Tabelas;Links;Cadastrar links;;FABRICIO;;;;;
1754;SAJADM;Menu - Apoio - Tabelas;Locais físicos;Cadastrar locais físicos;;FABRICIO;;;;;
1755;SAJADM;Menu - Apoio - Tabelas;Locais de sessões do CSMP;Cadastrar local de sessão;;FABRICIO;;;;;
1756;SAJADM;Menu - Apoio - Tabelas;Matéria;Cadastrar matéria;;FABRICIO;;;;;
1757;SAJADM;Menu - Apoio - Tabelas;Mensagens do WebService;Abrir a janela;;FABRICIO;;;;;
1758;SAJADM;Menu - Apoio - Tabelas;Moedas;Cadastrar moedas;;FABRICIO;;;;;
1759;SAJADM;Menu - Apoio - Tabelas;Movimentação do Relatório Estatístico da Ouvidoria;Abrir janela;;FABRICIO;;;;;
1760;SAJADM;Menu - Apoio - Tabelas;Municípios;Cadastro de municípios;;FABRICIO;;;;;
1761;SAJADM;Menu - Apoio - Tabelas;Numeração de documentos;Configurar a numeração de documentos da categoria para uma lotação de testar a emissão;;FABRICIO;;;;;
1762;SAJADM;Menu - Apoio - Tabelas;Órgãos;Cadastrar lotações e se lotar;;FABRICIO;;;;;
1763;SAJADM;Menu - Apoio - Tabelas;Origens e destinos para tipos de processos;Configurar evoluções para tipos de processos e listar no SAJ;;FABRICIO;;;;;
1764;SAJADM;Menu - Apoio - Tabelas;Partes automáticas;Configurar partes automáticas para tipo de processos;;FABRICIO;;;;;
1765;SAJADM;Menu - Apoio - Tabelas;Prioridade do processo;Cadastrar prioridades do processo e vincular em um cadastro;;FABRICIO;;;;;
1766;SAJADM;Menu - Apoio - Tabelas;Programas;Cadastrar programas;;FABRICIO;;;;;
1767;SAJADM;Menu - Apoio - Tabelas;Situações do agente;Cadastrar situação do agente;;FABRICIO;;;;;
1768;SAJADM;Menu - Apoio - Tabelas;Situações do processo;Cadastrar situação;;FABRICIO;;;;;
1769;SAJADM;Menu - Apoio - Tabelas;Tarjas;Cadastrar tarjas;;FABRICIO;;;;;
1770;SAJADM;Menu - Apoio - Tabelas;URL das comarcas;Abrir janela;;FABRICIO;;;;;
1771;SAJADM;Menu - Apoio - Tabelas;Vagas;Abrir janela;;FABRICIO;;;;;
1772;SAJADM;Menu - Apoio - Tabelas unificadas;Estado civil;Cadastrar estado civil;;FABRICIO;;;;;
1773;SAJADM;Menu - Apoio - Tabelas unificadas;Graus de instrução;Cadastrar grau de instrução;;FABRICIO;;;;;
1774;SAJADM;Menu - Apoio - Tabelas unificadas;Nacionalidades;Cadastrar nacionalidades;;FABRICIO;;;;;
1775;SAJADM;Menu - Apoio - Tabelas unificadas;Tipos de documento de parte;Cadastrar tipo de documento;;FABRICIO;;;;;
1776;SAJADM;Menu - Apoio - Tabelas unificadas;Profissões;Cadastrar profissões e vincular grau de instrução;;FABRICIO;;;;;
1777;SAJADM;Menu - Apoio - Tabelas unificadas;Ramos de atividades;Cadastrar ramos de atividades;;FABRICIO;;;;;
1778;SAJADM;Menu - Apoio - Tabelas unificadas;Regimes de casamento;Cadastrar regimes de casamento;;FABRICIO;;;;;
1779;SAJADM;Menu - Apoio - Tipos;Agentes;Abrir janela;;FABRICIO;;;;;
1780;SAJADM;Menu - Apoio - Tipos;Atividades não procedimentais;Cadastrar atividade não procedimental;;FABRICIO;;;;;
1781;SAJADM;Menu - Apoio - Tipos;Avaliações;Cadastrar availação;;FABRICIO;;;;;
1782;SAJADM;Menu - Apoio - Tipos;Cadastros;Abrir janela;;FABRICIO;;;;;
1783;SAJADM;Menu - Apoio - Tipos;Conceitos;Cadastrar conceito;;FABRICIO;;;;;
1784;SAJADM;Menu - Apoio - Tipos;Critérios do CSMP;Cadastrar critério e vincular;;FABRICIO;;;;;
1785;SAJADM;Menu - Apoio - Tipos;Documentos digitais;Cadastrar tipo de documento digital;;FABRICIO;;;;;
1786;SAJADM;Menu - Apoio - Tipos;Falhas funcionais;;;FABRICIO;;;;;
1787;SAJADM;Menu - Apoio - Tipos;Lista da pauta do CSMP;Cadastrar pauta;;FABRICIO;;;;;
1788;SAJADM;Menu - Apoio - Tipos;Movimentações;Cadastrar movimentação, inserir flags e testá-las de acordo com a situação;;FABRICIO;;;;;
1789;SAJADM;Menu - Apoio - Tipos;Órgãos;Cadastrar órgão;;FABRICIO;;;;;
1790;SAJADM;Menu - Apoio - Tipos;Participações;Cadastrar participação;;FABRICIO;;;;;
1791;SAJADM;Menu - Apoio - Tipos;Pauta;Cadastrar pauta;;FABRICIO;;;;;
1792;SAJADM;Menu - Apoio - Tipos;Procedimentos administrativos;Inserir um novo tipo de procedimento administrativo;;FABRICIO;;;;;
1793;SAJADM;Menu - Apoio - Tipos;Processos/Procedimentos extra-judiciais;Inserir um novo tipo de cadastro extrajudicial;;FABRICIO;;;;;
1794;SAJADM;Menu - Apoio - Tipos;Situações do procurador;Inserir um novo tipo de situação;;FABRICIO;;;;;
1795;SAJADM;Menu - Apoio - Tipos;Telefones;Inserir um novo tipo de telefone;;FABRICIO;;;;;
1796;SAJADM;Menu - Apoio - Tipos;Vínculos entre pessoas;Inserir um tipo de vínculo;;FABRICIO;;;;;
1797;SAJADM;Menu - Apoio - Maria da Penha;Ambiente de agressão;Inserir um tipo de ambiente;;FABRICIO;;;;;
1798;SAJADM;Menu - Apoio - Maria da Penha;Fatores exacerbadores;Inserir um tipo de fator;;FABRICIO;;;;;
1799;SAJADM;Menu - Apoio - Maria da Penha;Medidas protetivas;Inserir um tipo de medida protetiva;;FABRICIO;;;;;
1800;SAJADM;Menu - Apoio - Maria da Penha;Tipos de crimes;Inserir um tipo de crime;;FABRICIO;;;;;
1801;SAJADM;Menu - Apoio - Maria da Penha;Tipos de renda;Inserir um tipo de renda;;FABRICIO;;;;;
1802;SAJADM;Menu - Apoio - Maria da Penha;Tipos de vínculo com o agressor;Inserir um tipo de vínculo com o agressor;;FABRICIO;;;;;
1803;SAJADM;Menu - Apoio - Maria da Penha;Situações judiciais;Inserir uma situação judicial;;FABRICIO;;;;;
1804;SAJADM;Menu - Apoio - Vínculos;Vínculação de função à perfil;Vincular função à perfil e vice-versa;;FABRICIO;;;;;
1805;SAJADM;Menu - Apoio - Vínculos;Vinculação entre órgãos e comarcas;Vincular órgão à comarca;;FABRICIO;;;;;
1806;SAJADM;Menu - Apoio - Vínculos;Vinculação entre órgãos e origem;Vincular órgão à origem;;FABRICIO;;;;;
1807;SAJADM;Menu - Apoio - Vínculos;Vinculação entre órgãos e secretarias;Vincular órgão à secretaria;;FABRICIO;;;;;
1808;SAJADM;Menu - Apoio - Vínculos;Vinculação entre órgãos MP e varas TJ;Vincular órgão MP à vara TJ;;FABRICIO;;;;;
1809;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de processos e classe automática;Vincular tipo de processo à um tipo de classe;;FABRICIO;;;;;
1810;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de processos e classificação;Vincular tipo de processo à um tipo de classificação;;FABRICIO;;;;;
1811;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de cadastros e movimentação de instauração;Vincular um movimento para instaurar um tipo de cadastro;;FABRICIO;;;;;
1812;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de processos e tipos de movimentação;Vincular tipo de processo à um tipo de movimentação;;FABRICIO;;;;;
1813;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de processos e tipos de participação;Vinculação entre tipos de processos e tipos de participação;;FABRICIO;;;;;
1814;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de movimentação e tipos de petição;Vincular tipo de movimentação ao tipo de petição e testar;;FABRICIO;;;;;
1815;SAJADM;Menu - Apoio - Vínculos;Vinculação entre tipos de movimentação e tipos de vista;Abrir janela;;FABRICIO;;;;;
1816;SAJADM;Menu - Apoio - Vínculos;Vínculos com a distribuição;Efetuar os vinculos e testar seu comportamento;;FABRICIO;;;;;
1817;SAJADM;Menu - Apoio - Vínculos;Vínculos entre cadastros;Vincular os tipos e testar seu comportamento;;FABRICIO;;;;;
1818;SAJADM;Menu - Apoio - Vínculos;Vinculação entre Competência do MP e TJ;Abrir janela;;FABRICIO;;;;;
1819;SAJADM;Menu - Apoio - Tribunal de Justiça;Varas;Cadastrar uma vara;;FABRICIO;;;;;
1820;SAJADM;Menu - Apoio - Agenda de compromissos;Cadastros de salas;Cadastrar salas;;FABRICIO;;;;;
1821;SAJADM;Menu - Apoio - Agenda de compromissos;Situações de compromissos;Cadastrar situação de compromisso;;FABRICIO;;;;;
1822;SAJADM;Menu - Apoio - Agenda de compromissos;Tipos de compromissos;Tipos de compromissos;;FABRICIO;;;;;
1823;SAJADM;Menu - Apoio - Carga;Vinculação de movimentações;Testar vinculações;;FABRICIO;;;;;
1824;SAJADM;Menu - Apoio - Editor;Brasões;Inserir e excluir brasões;;FABRICIO;;;;;
1825;SAJADM;Menu - Apoio - Editor;Categorias;Inserir, alterar e excluir categorias;;FABRICIO;;;;;
1826;SAJADM;Menu - Apoio - Editor;Grupos;Inserir grupos;;FABRICIO;;;;;
1827;SAJADM;Menu - Apoio - Editor;Pastas;Inserir pasta;;FABRICIO;;;;;
1828;SAJADM;Menu - Apoio - Editor;Preparação de modelos e documentos para indexação;Abrir janela;;FABRICIO;;;;;
1829;SAJADM;Menu - Apoio - Integração TJ;Configurações de serviços;Abrir janela;;FABRICIO;;;;;
1830;SAJADM;Menu - Apoio - Integração TJ;Configurar tipos de documentos de petição;Efetuar vinculos;;FABRICIO;;;;;
1831;SAJADM;Menu - Apoio - Integração TJ;Configurar tipos de parte para peticionamento intermediário;Abrir janela;;FABRICIO;;;;;
1832;SAJADM;Menu - Apoio - Integração TJ;Importar dados do TJ;Abrir janela;;FABRICIO;;;;;
1833;SAJADM;Menu - Apoio - Integração TJ - MNI;Integração MP x TJ (MNI);Abrir janela;;FABRICIO;;;;;
1834;SAJADM;Menu - Apoio - Integração TJ - MNI;Órgão Julgador;Abrir janela;;FABRICIO;;;;;
1835;SAJADM;Menu - Apoio - Integração TJ - MNI;Importação de planilha MNI/EPROC;Abrir janela;;FABRICIO;;;;;
1836;SAJADM;Menu - Apoio - Integração TJ - MNI;Importação serviço de apoio MNI;Abrir janela;;FABRICIO;;;;;
1837;SAJADM;Menu - Apoio - Integração TJ - MNI;Configuração de peticionamento inicial do SEEU;Abrir janela;;FABRICIO;;;;;
1838;SAJADM;Menu - Apoio - Fluxo de trabalho;Fila inicial;Configurar a fila inicial para um determinado tipo de objeto;;FABRICIO;;;;;
1839;SAJADM;Menu - Apoio - Fluxo de trabalho;Filas de trabalho;Inserir uma nova fila trabalho;;FABRICIO;;;;;
1840;SAJADM;Menu - Apoio - Fluxo de trabalho;Fluxos de trabalho;Inserir um novo fluxo de trabalho;;FABRICIO;;;;;
1841;SAJADM;Menu - Apoio - Fluxo de trabalho;Subfluxos de trabalho;Inserir um novo subfluxo de trabalho;;FABRICIO;;;;;
1842;SAJADM;Menu - Apoio - Fluxo de trabalho;Painel de configuração do fluxo de trabalho;Configuração de fluxo de trabalho;;FABRICIO;;;;;
1843;SAJADM;Menu - Apoio - Fluxo de trabalho;Consulta de objetos fora do fluxo de trabalho;Restaurar processos/procedimentos para a fila inicial das lotações que tiverem estes excluídos manualmente do fluxo de trabalho;;FABRICIO;;;;;
1844;SAJADM;Menu - Apoio - Fluxo de trabalho;Consulta de objetos no fluxo de trabalho incorreto;Restaurar processos/procedimentos em um fluxo de trabalho incorreto;;FABRICIO;;;;;
1845;SAJADM;Menu - Apoio;Alterar situação de processos;Alterar a situação de qualquer tipo de cadastro;;FABRICIO;;;;;
1846;SAJADM;Menu - Apoio;Liberar documento em uso;Testar esta funcionalidade de liberação de documento em uso;;FABRICIO;;;;;
1847;SAJADM;Menu - Apoio;Certificados digitais;Abrir janela;;FABRICIO;;;;;
1848;SAJADM;Menu - Apoio - WEB;Sistemas web;Incluir um registro;;FABRICIO;;;;;
